datetime_utc,week,step,flux_W,magnitude,phase_angle_deg,elevation_deg,illumination_fraction,sun_angle_panel_deg,eclipsed,below_horizon
2025-01-07T21:00:00,0,0,nan,nan,38.499689734643106,6.417611686761997,nan,42.704429402787156,False,False
2025-01-07T21:10:00,0,1,nan,nan,nan,4.205802497513507,nan,nan,False,True
2025-01-07T21:20:00,0,2,nan,nan,nan,2.000988798364543,nan,nan,False,True
2025-01-07T21:30:00,0,3,nan,nan,nan,-0.19579033595680426,nan,nan,False,True
2025-01-07T21:40:00,0,4,nan,nan,nan,-2.383598157326572,nan,nan,False,True
2025-01-07T21:50:00,0,5,nan,nan,nan,-4.561583160021076,nan,nan,False,True
2025-01-07T22:00:00,0,6,nan,nan,nan,-6.728963364642969,nan,nan,False,True
2025-01-07T22:10:00,0,7,nan,nan,nan,-8.885011662837725,nan,nan,False,True
2025-01-07T22:20:00,0,8,nan,nan,nan,-11.029041972090253,nan,nan,False,True
2025-01-07T22:30:00,0,9,nan,nan,nan,-13.160395934948971,nan,nan,False,True
2025-01-07T22:40:00,0,10,nan,nan,nan,-15.278429947649126,nan,nan,False,True
2025-01-07T22:50:00,0,11,nan,nan,nan,-17.382502266390496,nan,nan,False,True
2025-01-07T23:00:00,0,12,nan,nan,nan,-19.471959958802387,nan,nan,False,True
2025-01-07T23:10:00,0,13,nan,nan,nan,-21.546125457331772,nan,nan,False,True
2025-01-07T23:20:00,0,14,nan,nan,nan,-23.604282432391674,nan,nan,False,True
2025-01-07T23:30:00,0,15,nan,nan,nan,-25.645660716619705,nan,nan,False,True
2025-01-07T23:40:00,0,16,nan,nan,nan,-27.669419939960004,nan,nan,False,True
2025-01-07T23:50:00,0,17,nan,nan,nan,-29.674631524693996,nan,nan,False,True
2025-01-08T00:00:00,0,18,nan,nan,nan,-31.660258609979657,nan,nan,False,True
2025-01-08T00:10:00,0,19,nan,nan,nan,-33.625133460729764,nan,nan,False,True
2025-01-08T00:20:00,0,20,nan,nan,nan,-35.567931775066675,nan,nan,False,True
2025-01-08T00:30:00,0,21,nan,nan,nan,-37.487143341375685,nan,nan,False,True
2025-01-08T00:40:00,0,22,nan,nan,nan,-39.38103829672516,nan,nan,False,True
2025-01-08T00:50:00,0,23,nan,nan,nan,-41.247628234415984,nan,nan,False,True
2025-01-08T01:00:00,0,24,nan,nan,nan,-43.084621348399494,nan,nan,False,True
2025-01-08T01:10:00,0,25,nan,nan,nan,-44.88937075038113,nan,nan,False,True
2025-01-08T01:20:00,0,26,nan,nan,nan,-46.658815172576354,nan,nan,False,True
2025-01-08T01:30:00,0,27,nan,nan,nan,-48.389411416564016,nan,nan,False,True
2025-01-08T01:40:00,0,28,nan,nan,nan,-50.07705832326389,nan,nan,False,True
2025-01-08T01:50:00,0,29,nan,nan,nan,-51.71701271172105,nan,nan,False,True
2025-01-08T02:00:00,0,30,nan,nan,nan,-53.30379894992493,nan,nan,False,True
2025-01-08T02:10:00,0,31,nan,nan,nan,-54.83111572245514,nan,nan,False,True
2025-01-08T02:20:00,0,32,nan,nan,nan,-56.29174640346633,nan,nan,False,True
2025-01-08T02:30:00,0,33,nan,nan,nan,-57.67748352557517,nan,nan,False,True
2025-01-08T02:40:00,0,34,nan,nan,nan,-58.979083150732286,nan,nan,False,True
2025-01-08T02:50:00,0,35,nan,nan,nan,-60.18627134134234,nan,nan,False,True
2025-01-08T03:00:00,0,36,nan,nan,nan,-61.287831313143485,nan,nan,False,True
2025-01-08T03:10:00,0,37,nan,nan,nan,-62.27180416292233,nan,nan,False,True
2025-01-08T03:20:00,0,38,nan,nan,nan,-63.125834630112735,nan,nan,False,True
2025-01-08T03:30:00,0,39,nan,nan,nan,-63.83768162704147,nan,nan,False,True
2025-01-08T03:40:00,0,40,nan,nan,nan,-64.39588723473244,nan,nan,False,True
2025-01-08T03:50:00,0,41,nan,nan,nan,-64.79055755529684,nan,nan,False,True
2025-01-08T04:00:00,0,42,nan,nan,nan,-65.01416214708932,nan,nan,False,True
2025-01-08T04:10:00,0,43,nan,nan,nan,-65.06222257132733,nan,nan,False,True
2025-01-08T04:20:00,0,44,nan,nan,nan,-64.93375537319699,nan,nan,False,True
2025-01-08T04:30:00,0,45,nan,nan,nan,-64.63137274277422,nan,nan,False,True
2025-01-08T04:40:00,0,46,nan,nan,nan,-64.16101783400336,nan,nan,False,True
2025-01-08T04:50:00,0,47,nan,nan,nan,-63.531394465264306,nan,nan,False,True
2025-01-14T21:00:00,1,0,nan,nan,nan,0.3636924490174494,nan,nan,False,True
2025-01-14T21:10:00,1,1,nan,nan,nan,-1.8264768014693105,nan,nan,False,True
2025-01-14T21:20:00,1,2,nan,nan,nan,-4.007036437898828,nan,nan,False,True
2025-01-14T21:30:00,1,3,nan,nan,nan,-6.1771880298516555,nan,nan,False,True
2025-01-14T21:40:00,1,4,nan,nan,nan,-8.336191697727033,nan,nan,False,True
2025-01-14T21:50:00,1,5,nan,nan,nan,-10.48335207411154,nan,nan,False,True
2025-01-14T22:00:00,1,6,nan,nan,nan,-12.618004894487395,nan,nan,False,True
2025-01-14T22:10:00,1,7,nan,nan,nan,-14.739503959477803,nan,nan,False,True
2025-01-14T22:20:00,1,8,nan,nan,nan,-16.847208247347375,nan,nan,False,True
2025-01-14T22:30:00,1,9,nan,nan,nan,-18.940468922171227,nan,nan,False,True
2025-01-14T22:40:00,1,10,nan,nan,nan,-21.018616014649098,nan,nan,False,True
2025-01-14T22:50:00,1,11,nan,nan,nan,-23.080944498029883,nan,nan,False,True
2025-01-14T23:00:00,1,12,nan,nan,nan,-25.126699481371467,nan,nan,False,True
2025-01-14T23:10:00,1,13,nan,nan,nan,-27.155060211539748,nan,nan,False,True
2025-01-14T23:20:00,1,14,nan,nan,nan,-29.16512251541514,nan,nan,False,True
2025-01-14T23:30:00,1,15,nan,nan,nan,-31.155879303771208,nan,nan,False,True
2025-01-14T23:40:00,1,16,nan,nan,nan,-33.12619866321109,nan,nan,False,True
2025-01-14T23:50:00,1,17,nan,nan,nan,-35.07479902681338,nan,nan,False,True
2025-01-15T00:00:00,1,18,nan,nan,nan,-37.000220811934675,nan,nan,False,True
2025-01-15T00:10:00,1,19,nan,nan,nan,-38.90079386909726,nan,nan,False,True
2025-01-15T00:20:00,1,20,nan,nan,nan,-40.774599995842074,nan,nan,False,True
2025-01-15T00:30:00,1,21,nan,nan,nan,-42.61942966870434,nan,nan,False,True
2025-01-15T00:40:00,1,22,nan,nan,nan,-44.432732188162916,nan,nan,False,True
2025-01-15T00:50:00,1,23,nan,nan,nan,-46.21155838159236,nan,nan,False,True
2025-01-15T01:00:00,1,24,nan,nan,nan,-47.952495201994985,nan,nan,False,True
2025-01-15T01:10:00,1,25,nan,nan,nan,-49.65159183955549,nan,nan,False,True
2025-01-15T01:20:00,1,26,nan,nan,nan,-51.30427759841517,nan,nan,False,True
2025-01-15T01:30:00,1,27,nan,nan,nan,-52.90527281794254,nan,nan,False,True
2025-01-15T01:40:00,1,28,nan,nan,nan,-54.44849584903099,nan,nan,False,True
2025-01-15T01:50:00,1,29,nan,nan,nan,-55.926971655780896,nan,nan,False,True
2025-01-15T02:00:00,1,30,nan,nan,nan,-57.33275136231259,nan,nan,False,True
2025-01-15T02:10:00,1,31,nan,nan,nan,-58.656857085501166,nan,nan,False,True
2025-01-15T02:20:00,1,32,nan,nan,nan,-59.88927254926673,nan,nan,False,True
2025-01-15T02:30:00,1,33,nan,nan,nan,-61.01900655187468,nan,nan,False,True
2025-01-15T02:40:00,1,34,nan,nan,nan,-62.03426144742209,nan,nan,False,True
2025-01-15T02:50:00,1,35,nan,nan,nan,-62.92273928886046,nan,nan,False,True
2025-01-15T03:00:00,1,36,nan,nan,nan,-63.67210961687943,nan,nan,False,True
2025-01-15T03:10:00,1,37,nan,nan,nan,-64.27064073853705,nan,nan,False,True
2025-01-15T03:20:00,1,38,nan,nan,nan,-64.70795926934898,nan,nan,False,True
2025-01-15T03:30:00,1,39,nan,nan,nan,-64.97585637005791,nan,nan,False,True
2025-01-15T03:40:00,1,40,nan,nan,nan,-65.0690182370706,nan,nan,False,True
2025-01-15T03:50:00,1,41,nan,nan,nan,-64.98554352982165,nan,nan,False,True
2025-01-15T04:00:00,1,42,nan,nan,nan,-64.72713713533643,nan,nan,False,True
2025-01-15T04:10:00,1,43,nan,nan,nan,-64.29893621118111,nan,nan,False,True
2025-01-15T04:20:00,1,44,nan,nan,nan,-63.70900812386915,nan,nan,False,True
2025-01-15T04:30:00,1,45,nan,nan,nan,-62.96762814510165,nan,nan,False,True
2025-01-15T04:40:00,1,46,nan,nan,nan,-62.08647390792357,nan,nan,False,True
